SMT测试场景,SMT进程数,share32-IPC,share32-命中率(%),share32-平均延迟,share32-MSHR冲突,share32-重分配次数,share32-Bank利用率,share32-总周期,smtc128-IPC,smtc128-命中率(%),smtc128-平均延迟,smtc128-MSHR冲突,smtc128-重分配次数,smtc128-Bank利用率,smtc128-总周期,smtc64-IPC,smtc64-命中率(%),smtc64-平均延迟,smtc64-MSHR冲突,smtc64-重分配次数,smtc64-Bank利用率,smtc64-总周期,ssmtc64-100-5%-IPC,ssmtc64-100-5%-命中率(%),ssmtc64-100-5%-平均延迟,ssmtc64-100-5%-MSHR冲突,ssmtc64-100-5%-重分配次数,ssmtc64-100-5%-Bank利用率,ssmtc64-100-5%-总周期,ssmtc64-200-5%-IPC,ssmtc64-200-5%-命中率(%),ssmtc64-200-5%-平均延迟,ssmtc64-200-5%-MSHR冲突,ssmtc64-200-5%-重分配次数,ssmtc64-200-5%-Bank利用率,ssmtc64-200-5%-总周期,ssmtc64-500-5%-IPC,ssmtc64-500-5%-命中率(%),ssmtc64-500-5%-平均延迟,ssmtc64-500-5%-MSHR冲突,ssmtc64-500-5%-重分配次数,ssmtc64-500-5%-Bank利用率,ssmtc64-500-5%-总周期,smtc128 vs share32-IPC变化(%),smtc128 vs share32-命中率变化(%),smtc128 vs share32-延迟变化(%),smtc64 vs share32-IPC变化(%),smtc64 vs share32-命中率变化(%),smtc64 vs share32-延迟变化(%),ssmtc64-100-5% vs share32-IPC变化(%),ssmtc64-100-5% vs share32-命中率变化(%),ssmtc64-100-5% vs share32-延迟变化(%),ssmtc64-200-5% vs share32-IPC变化(%),ssmtc64-200-5% vs share32-命中率变化(%),ssmtc64-200-5% vs share32-延迟变化(%),ssmtc64-500-5% vs share32-IPC变化(%),ssmtc64-500-5% vs share32-命中率变化(%),ssmtc64-500-5% vs share32-延迟变化(%)
cacherand_3_crafty_1.txt,2,3.3915,66.9719,2.1385,860,0,0.000000,589704523,3.6811,82.7407,1.3295,70,0,0.000000,543321285,3.4107,64.7049,2.0686,551,0,0.000000,586387016,3.6811,82.7407,1.3292,77,0,0.000000,543313860,3.6811,82.7407,1.3292,77,0,0.000000,543313860,3.6811,82.7407,1.3292,77,0,0.000000,543313860,+8.5370%,+15.7688%,-37.8307%,+0.5658%,-2.2670%,-3.2680%,+8.5385%,+15.7689%,-37.8426%,+8.5385%,+15.7689%,-37.8426%,+8.5385%,+15.7689%,-37.8426%
cacherand_3_gcc-200_1.txt,2,3.2304,70.4719,2.1290,41363,0,0.000000,619118735,3.4193,82.4762,1.5436,23305,0,0.000000,584914542,3.2946,65.3196,2.0557,42166,0,0.000000,607063270,3.4193,82.4761,1.5436,23209,0,0.000000,584918566,3.4193,82.4761,1.5436,23209,0,0.000000,584918566,3.4193,82.4761,1.5436,23209,0,0.000000,584918566,+5.8477%,+12.0042%,-27.4955%,+1.9859%,-5.1523%,-3.4423%,+5.8470%,+12.0042%,-27.4943%,+5.8470%,+12.0042%,-27.4943%,+5.8470%,+12.0042%,-27.4943%
cacherand_3_gcc-expr_1.txt,2,3.2991,70.8212,1.9671,29838,0,0.000000,606224883,3.4772,82.6453,1.4120,12617,0,0.000000,575173062,3.3550,65.5330,1.8983,26167,0,0.000000,596121875,3.4772,82.6453,1.4120,12622,0,0.000000,575177920,3.4772,82.6453,1.4120,12622,0,0.000000,575177920,3.4772,82.6453,1.4120,12622,0,0.000000,575177920,+5.3987%,+11.8242%,-28.2175%,+1.6948%,-5.2881%,-3.4952%,+5.3978%,+11.8242%,-28.2192%,+5.3978%,+11.8242%,-28.2192%,+5.3978%,+11.8242%,-28.2192%
cacherand_3_gcc-scilab_1.txt,2,3.2785,70.8029,1.9730,31355,0,0.000000,610038638,3.4677,82.7195,1.4010,14817,0,0.000000,576748683,3.3389,65.5623,1.8939,29198,0,0.000000,599003127,3.4678,82.7195,1.4005,14835,0,0.000000,576726922,3.4678,82.7195,1.4005,14835,0,0.000000,576726922,3.4678,82.7195,1.4005,14835,0,0.000000,576726922,+5.7720%,+11.9166%,-28.9946%,+1.8423%,-5.2406%,-4.0078%,+5.7760%,+11.9166%,-29.0184%,+5.7760%,+11.9166%,-29.0184%,+5.7760%,+11.9166%,-29.0184%
cacherand_3_gzip-program_1.txt,2,3.3185,72.1556,2.5892,57396,0,0.000000,602680033,3.4473,82.0835,2.1152,29081,0,0.000000,580161831,3.3373,65.0668,2.6279,60631,0,0.000000,599294576,3.4473,82.0835,2.1152,29081,0,0.000000,580161844,3.4473,82.0835,2.1152,29081,0,0.000000,580161844,3.4473,82.0835,2.1152,29081,0,0.000000,580161844,+3.8813%,+9.9279%,-18.3076%,+0.5649%,-7.0888%,+1.4955%,+3.8813%,+9.9279%,-18.3077%,+3.8813%,+9.9279%,-18.3077%,+3.8813%,+9.9279%,-18.3077%
cacherand_3_gzip-source_1.txt,2,3.3846,72.9057,2.6779,58090,0,0.000000,590913836,3.5170,82.1464,2.2175,31197,0,0.000000,568674061,3.4007,65.1460,2.7348,61798,0,0.000000,588122932,3.5169,82.1464,2.2175,31227,0,0.000000,568675506,3.5169,82.1464,2.2175,31227,0,0.000000,568675506,3.5169,82.1464,2.2175,31227,0,0.000000,568675506,+3.9108%,+9.2407%,-17.1944%,+0.4746%,-7.7597%,+2.1237%,+3.9105%,+9.2407%,-17.1942%,+3.9105%,+9.2407%,-17.1942%,+3.9105%,+9.2407%,-17.1942%
cacherand_3_randacc_1.txt,2,3.3417,55.9628,4.7640,0,0,0.000000,598494518,3.6017,82.9561,1.5559,0,0,0.000000,555289175,3.3483,55.6346,4.6795,0,0,0.000000,597310504,3.6017,82.9561,1.5559,0,0,0.000000,555289175,3.6017,82.9561,1.5559,0,0,0.000000,555289175,3.6017,82.9561,1.5559,0,0,0.000000,555289175,+7.7807%,+26.9932%,-67.3399%,+0.1982%,-0.3282%,-1.7746%,+7.7807%,+26.9932%,-67.3399%,+7.7807%,+26.9932%,-67.3399%,+7.7807%,+26.9932%,-67.3399%
cacherand_3_recurseq_1.txt,2,2.9843,69.9169,1.4304,0,0,0.000000,670168421,3.2352,83.0344,0.9098,0,0,0.000000,618192515,3.1016,65.9330,1.3140,0,0,0.000000,644832662,3.2352,83.0344,0.9098,0,0,0.000000,618192515,3.2352,83.0344,0.9098,0,0,0.000000,618192515,3.2352,83.0344,0.9098,0,0,0.000000,618192515,+8.4077%,+13.1175%,-36.3967%,+3.9290%,-3.9839%,-8.1375%,+8.4077%,+13.1175%,-36.3967%,+8.4077%,+13.1175%,-36.3967%,+8.4077%,+13.1175%,-36.3967%
cacherand_3_seqacc_1.txt,2,3.4359,61.3994,4.2698,0,0,0.000000,582094388,3.6927,83.3077,1.5972,0,0,0.000000,541612521,3.4939,61.8991,3.8895,0,0,0.000000,572419127,3.6927,83.3077,1.5972,0,0,0.000000,541612521,3.6927,83.3077,1.5972,0,0,0.000000,541612521,3.6927,83.3077,1.5972,0,0,0.000000,541612521,+7.4743%,+21.9083%,-62.5915%,+1.6903%,+0.4997%,-8.9053%,+7.4743%,+21.9083%,-62.5915%,+7.4743%,+21.9083%,-62.5915%,+7.4743%,+21.9083%,-62.5915%
crafty_1_recurseq_3.txt,2,2.9637,97.7917,1.1390,1509,0,0.000000,674823678,3.1045,99.1323,0.9260,160,0,0.000000,644221445,2.9725,97.2486,1.1656,519,0,0.000000,672844294,3.1047,99.1325,0.9260,154,0,0.000000,644186355,3.1047,99.1325,0.9260,154,0,0.000000,644186355,3.1047,99.1325,0.9260,154,0,0.000000,644186355,+4.7503%,+1.3406%,-18.7025%,+0.2942%,-0.5431%,+2.3396%,+4.7560%,+1.3408%,-18.7015%,+4.7560%,+1.3408%,-18.7015%,+4.7560%,+1.3408%,-18.7015%
